OD;DESTINO;E190-E2;E195-E2;A220-100;A220-300;A319Neo;B737-M7;ATR-72
SBCTSBGO;SBCT;460.40081053525773;294.1265311409177;460.40081053525773;294.1265311409177;294.1265311409177;343.31692750111273;460.40081053525773
SBCYSBGO;SBCY;396.1953100352122;291.7843903638334;396.1953100352122;291.7843903638334;291.7843903638334;318.9347703163684;396.1953100352122
SBGLSBGO;SBGL;445.28012789223675;293.60415051327726;445.28012789223675;293.60415051327726;293.60415051327726;337.7393733619915;445.28012789223675
SBGRSBGO;SBGR;414.1805254860305;292.4747542844238;414.1805254860305;292.4747542844238;292.4747542844238;325.95584089444907;414.1805254860305
SBKPSBGO;SBKP;395.6571775079758;291.7632801004521;395.6571775079758;291.7632801004521;291.7632801004521;318.7222178765761;395.6571775079758
SBPASBGO;SBPA;572.736629286533;297.5648261537057;572.7366292865335;297.5648261537057;297.5648261537057;382.12313919339937;572.7366292865335
SBPJSBGO;SBPJ;386.9011221541226;291.41591660175396;386.9011221541226;291.41591660175396;291.41591660175396;315.2428141334651;386.9011221541226
SBRJSBGO;SBRJ;448.8674280569974;293.72958532474587;448.8674280569974;293.72958532474587;293.72958532474587;339.07124207441296;448.8674280569974
SBSPSBGO;SBSP;417.7593634503868;292.6087351839568;417.7593634503868;292.6087351839568;292.6087351839568;327.33429459807064;417.7593634503868
SBGRSBGR;SBGR;0;0;0;0;0;0;0
SBSPSBSP;SBSP;0;0;0;0;0;0;0
SBRJSBRJ;SBRJ;0;0;0;0;0;0;0
SBCFSBCF;SBCF;0;0;0;0;0;0;0
SBKPSBKP;SBKP;0;0;0;0;0;0;0
SBGLSBGL;SBGL;0;0;0;0;0;0;0
SBPASBPA;SBPA;0;0;0;0;0;0;0
SBCYSBCY;SBCY;0;0;0;0;0;0;0
SBPJSBPJ;SBPJ;0;0;0;0;0;0;0
SBCTSBCT;SBCT;0;0;0;0;0;0;0
SBGOSBGO;SBGO;0;0;0;0;0;0;0
